id,username,password
1115,Nticmaster1293,CYUA4w7KGR
1116,EitRawmaterialsAcademyAmis2727,IJueU9M7Hv
1117,SingaporeOfTechnologyAndDesign2944,E9DWpmPzlZ
1118,WarnboroughCollege961,FU1PdRoz5E
1119,Arden162,rb0YKmdscw
1120,Paderborn2852,zbelIp5OCG
1121,EthZurichInstituteOfPharmaceutical2891,M9NChi7DBz
1122,UniversidadDelMarcampusHuatulco3019,l4SXGLIxsf
1123,OfArkansasAtMonticelloSchool3402,GtV0BPqYTw
1124,SiberianStateAerospaceSibsau174,U8AzxEowBY
1125,HoChiMinhCityOf2968,t6rghvPmbS
1126,RussianStateVocationalPedagogical3707,VCyxXfZPOs
1127,OfNewcastle1933,PpcOWI0jnk
1128,ElCentroDeEstudiosEconufmicos1664,JLBbpqG8Du
1129,InstitutoEuropeoDePosgradoEspaufa320,6bPyV7avkw
1130,OfAlbany2037,qOi3h6vMyj
1131,TempleCollegeOfEngineering2782,8PdHBV71g6
1132,FloridaStateCollegeOfMotion3683,QuvS0FyGzX
1133,Cept702,uAZdC0RhlI
1134,TheSalvationArmyBoothCollege3534,1ZIJs8NExf
1135,SarahLawrenceCollege3852,T2SdOaMc0J
1136,NationalCostaRica35,WAhwemV4rH
1137,BrunelLondon437,v1oXakIB3n
1138,BarcelonaEastSchoolOfEngineering2738,cVuXqJQZrE
1139,OfCentralFloridaCollegeOf2952,cCRWGo2pYe
1140,MountStMarys2609,bXIhtWY50i
1141,IndianaBloomingtonTheMediaSchool3632,ejoJk5dw2Z
1142,Lipscomb73,Zhax6bjp4e
1143,WestTexasAmDistanceEducation2217,CFw6o37HTB
1144,CentraleNantes2697,GHYAiDf4RW
1145,NewJerseyCity1260,sxyF0nMLoG
1146,VentspilsOfAppliedSciences1696,ObiTLFjYUk
1147,TheOfHongKongFaculty2704,ymA10T4S5F
1148,MaryvilleDesignAndVisualArt3293,xznh3SEubq
1149,CardinalStritch2473,rgM6n7KkjN
1150,ThePresbyterianCollegeMontreal3443,vNPUr6y31A
1151,RoffeyParkInstitute3884,7zEqAbu5oc
1152,NorthChinaElectricPowerNcepu415,fsbxCKSpOy
1153,MidSweden1143,KM7gOLY6QD
1154,NewboldCollegeOfHigherEducation2475,vW0sVM8kuE
1155,UniversidadDeLasPalmasDe1913,mnS6LyvY9j
1156,Ryukoku3504,Cap3VfJmRZ
1157,AthensStateCollegeOfEducation2638,XOjZCiq5cv
1158,OfRhodeIslandCollegeOf1878,e4q72nxMBi
1159,WuhanOfTechnology704,2wlCBQfUcm
1160,NationalCentral1719,9Ssft6GXOZ
1161,CityOfSeattle2337,GW7MACawLc
1162,FrankfurtOfMusicAndPerforming2428,EcL2svC9iP
1163,OfVaasa1153,rAu6BE87Hl
1164,HochschuleLandshutOfAppliedSciences2831,YAXV2xP3q8
1165,TheOfTexasAtSan2061,YqcLPuab46
1166,TucampusEuref2702,J42Nz9DjrZ
1167,AutonomousOfCoahuilaUniversidadAutufnoma2984,fFexi4MokA
1168,SchoolOfTheArtInstitute596,e8Jm9uPrK4
1169,EdgewoodCollege3854,7qbPNyc6gR
1170,OfMassachusettsAmherstCollegeOf4238,H7gW6LptVe
1171,OklahomaStateCollegeOfEducation1746,PlVj7e592Y
1172,AsianInstituteOfManagement3920,nH5tLdq7Tm
1173,AutonomousFoundationOfTheAmericas3990,8pQCAqjTOH
1174,OsloMetropolitan1729,lFenIc8Pwm
1175,Daejin891,b85LfJ1ScG
1176,HigherInstituteOfTheEnvironment2691,IYs2WUw9eB
1177,OfToledoCollegeOfBusiness2208,tXyUnIpJ98
1178,MilkenInstituteSchoolOfPublic3129,5ig8PWMH2J
1179,Satbayev672,IkhtWYN4AD
1180,OfSouthernDenmark452,37l1qnMQSc
1181,Yunnan1257,foizLVClDU
1182,AutonomousOfBarcelonaDepartmentDempresa1334,gMzQm0CBa8
1183,AutonomousOfDurangoUad652,56wWnR2les
1184,UnivCollegeOxford2859,1vCYQRdsqg
1185,VictorianInstituteOfForensicMedicine3225,j8Av7apD0w
1186,ModulDubai1692,OVujtKovE7
1187,EsicBusinessMarketingSchool227,ltrKh36qsH
1188,Cranfield252,koFHsVQYbU
1189,BallStateCollegeOfHealth3170,Hwnr9CdZg8
1190,JohnJayCollegeOfCriminal3918,eLkJtD1aEM
1191,MaterDeiInstituteOfEducation2230,UPESw63VYz
1192,OfRhodeIslandCollegeOf2748,W65HIZoF8K
1193,SchoolOfBusinessAndEngineering1580,9xTDSyejIb
1194,DublinCityDcuConnectedExcellence333,z6cDOZ2PgQ
1195,EiaTheSchoolOfEngineering2213,mw62Y1HTqW
1196,BellevueCollegeOfBusiness1453,m25IMlOojW
1197,Purdue2197,2bn9ByS0E6
1198,AcrossThePond980,jFwuUkBSO6
1199,RanepaInstituteOfBusinessStudies3950,DawUfF2TXJ
1200,InformaConnect63,JDeQ8Pylm4
1201,UniversidadJuanPabloIi2069,2JT9qHrCc4
1202,OfGironaSmartHealthcareMaster3176,pwSqnNyeb7
1203,OfBogotaJorgeTadeoLozano674,K8tzwkGRW9
1204,NichollsStateOnline2584,FnIvxLPbOw
1205,CentreForStudiesInCommunication3684,lJv5scjP3t
1206,OfNewYorkTiranaUnyt2134,kLGjUFlsv9
1207,SchaffhausenInstituteOfTechnology4331,r9DuWpoSHw
1208,CaliforniaStateSanBernardinoSchool1403,yC1kKYVPnG
1209,Longwood2345,0K5YOre8hx
1210,Mercyhurst1487,43BhubJAPc
1211,BostonCollegeOfEngineering4297,jeYyMWgVQ5
1212,EdinburghBusinessSchool1975,nOjiJcMSNX
1213,IaadIstitutoDarteApplicataE1787,dai1jKwHUB
1214,SchulichSchoolOfBusiness2107,ZMiQt47fWl
1215,OfNorthernIowaCollegeOf3289,sUtv72Wky1
1216,CondeNastCollege1551,U7aSCkh1Vf
1217,OfStThomasHoustonCameron1343,3S08kbsCFj
1218,OfBergen1835,F0mXOgM3dw
1219,ChungHua4340,gG9o5AJNiu
1220,WesternSydneySydneyCityCampus4269,zqnfaT6mjD
1221,GoldsmithsOfLondon959,kejJXOU5Df
1222,BrandeisHellerSchoolForSocial3764,CzXbQUx7w9
1223,Centralasian750,ZGk6X7BiKd
1224,CubacatlMexicanFolkDanceSchool4053,N8r4Y5jyO2
1225,OfSouthernCaliforniaUscHerman3229,eWT5KV2ohM
1226,OfMissouriKansasCityConservatory4054,zARCvZ5Ndx
1227,YugraState2025,NheG6ljBf5
1228,TheHongKongPolytechnicDepartment3542,u4V7hHIrza
1229,UniaccLaUniversidadDeLas3952,7OqA6Kfpxy
1230,SouthernNewHampshire37,mJgMI74Ri5
1231,ConcordiaAnnArborMichigan3194,5uFHwZhdXe
1232,ContemporaryTechnology3989,mkBYlQ9J0a
1233,MingChuan298,tLQTAsDvYz
1234,RoyalCenterMariaCristina3777,7ZdMzmPxUg
1235,TheAmericanOfParis3671,nYmtPkVxpZ
1236,NorwegianOfScienceAndTechnology782,NOJTUP1eLS
1237,DrexelSchoolOfEducation2441,jspo0ECFGe
1238,NtnuInUclesund1763,ltNJ93Ozra
1239,ScotlandsRuralCollegeSruc850,1vum3NaYKP
1240,AutonomousOfQueruetaro2924,bYlBrHmjzD
1241,OfTampaSykesCollegeOf1680,DFnR7xc1Nb
1242,KukjeTheologicalAndSeminary3589,mrxpckn4Rt
1243,LebaneseAmericanOnline4321,DFbLN5nSgT
1244,CornellScJohnsonCollegeOf1432,D7Cs8yASVZ
1245,UpLevelSchoolOfManagement3663,Tio8myj6GD
1246,OfBathOnline1205,g8t5jWHIym
1247,EmbryriddleAeronautical316,1OmJCXYerS
1248,OfStirling77,N7cFgJDnj0
1249,SouthernCaliforniaOfHealthSciences3336,KyvdasfLNT
1250,ProtestantTheological2245,m8tzZdJx7X
1251,ObsBusinessSchool241,9Fo6fcPxBp
1252,ComfacaucaCorporationCorporaciufnUniversitariaComfacauca2094,KaDEGfyLS6
1253,OfThePhilippinesCollegeOf2098,SizorNxs4v
1254,FivestarsInternationalGraduateSchool3285,WLKDgMqVvo
1255,Uniminuto4151,aJ6DYXnMRB
1256,SwissSchoolOfHigherEducation1235,wcKdyJDTnY
1257,WorldCitiColleges263,2bqtBKzYsL
1258,RafflesMilanoIstitutoModaE967,Q2jTKC384n
1259,EsmacUccoleSupuerieureDesMuetiers1814,4ws0ORnZjF
1260,CasaBlanca3993,RNWXtw5ix1
1261,InstitutoSuperiorDeContabilidadeE386,rvpKjAWVgY
1262,OfMontevallo3183,59uM0ArCp2
1263,OregonCollegeOfArtAnd901,6a2rd38CXY
1264,NationalOfLanusUniversidadNacional2684,hnYA2IgJE0
1265,OfMinnesotaHubertHHumphrey4167,mfd07JiXUZ
1266,PeterTheGreatStPetersburg1208,mIczRVr40x
1267,TexasAmKingsvilleCollegeOf2215,9PJ1Zd28xs
1268,ChristianOfPanamaUniversidadCristiana2489,zJyIxMZ0Gj
1269,Uvm502,zgOwMLE4Nb
1270,OfNaturalMedicine3328,O5voGeEly2
1271,IvanofrankivskNationalTechnicalOfOil2690,zHgDYZXbKT
1272,FullSail823,GEicR7MNdS
1273,UnitarUnitedNationsInstituteFor1192,RqBuJDSP0s
1274,SyracuseCollegeOfArtsAnd3728,IVsjTUBRrb
1275,AtlanticCollege1749,HiGBwDJ7OE
1276,SchoolOfLifeSciencesFhnw2900,gEU3JaMHdG
1277,Champollion564,Oq3hUN5FM8
1278,CollegeOfPostgraduateStudiesOf1673,VqPJlEWZa7
1279,CentreForAdvancedStudiesIn1434,QWgKIl1fjr
1280,PolituecnicoDoPorto2732,L5lBXJvOhi
1281,PeruCamiperMiningChamber2784,ESwrU3ZARs
1282,InternationalInstituteOfManagementTechnology1355,viTurHoM6z
1283,AntwerpManagementSchool107,o2RQA5culT
1284,Arcada1239,4JVdFsH1Dg
1285,BuenaVistaSchoolOfCommunication2481,1gRX9Z2Ac7
1286,SalgadoDeOliveiraUniversoEad2505,auNX5CnoEd
1287,FederalOfParana2587,oYbxa6uR0r
1288,OfHoustonvictoriaCollegeOfArts3105,iIF0Mg2lSr
1289,FloridaState677,fsuyxVTeB9
1290,UuubuuaueuuauudueuuuauufUuduuuuuuuuuUuUuUauuuub4277,cIOrSPdGya
1291,SacredArtSchool981,RSxKculV9A
1292,MontanaState2260,KJ9nuyrigP
1293,PontificialCatholicOfSaoPaulo3386,KeiNwV0BJx
1294,OfSouthernMaineLewistonauburnCollege3909,O2C1aIPSt5
1295,UniversidadAutonomaDeAguascalientes213,rOGARmsTYD
1296,OfCharleston1151,kzs0Qjf6a2
1297,MedizinischeHochschuleBrandenburg4147,UcLnbrp7EX
1298,OfWarmiaAndMazuryIn2892,pZYHUPsDAf
1299,NyuSteinhardtSchoolOfCulture956,0XUVz1sc6d
1300,KingAbdulazizFacultyOfEconomics1903,LWVI7ORspt
1301,OfSuffolk800,L93mP6uAYh
1302,OfIllinoisAtUrbanachampaignSchool3851,Nek2Zya547
1303,OfWisconsinEauClaireCollege4258,aoOqrHucgU
1304,TheOfTexasAtSan510,pFCLJOtuUl
1305,FloridaStateCollegeOfFine934,VryRPvjNZp
1306,EuropeanCenterOfMastersAnd3307,v4sKYSNyoG
1307,OfLille3839,Qp8Y7qFobE
1308,UniversitueTelematicaPegaso3644,Y0DKyUA6S7
1309,Loughborough1808,6qzDd3ywlY
1310,Trier2199,gU8vnekdmh
1311,CatolicaFacultyOfHumanSciences1234,P1c2grXzHo
1312,NationalOfTheCenterOf2519,fMIc1pZ3qO
1313,NewMexicoStateCollegeOf58,pIVywhaRnZ
1314,NorthCarolinaStateCollegeOf4031,mD8Ib7zcsE
1315,IberoamericanUnibe151,2TsoBfQn6D
1316,KuLeuvenFacultyOfBioscience2914,SIjuULZx6M
1317,Tecnm2822,fm4bUVEvJK
1318,GoriStateTeaching68,a7rAvXQNhl
1319,ImacIngluesTotal108,avfiJU2e48
1320,ClaytonState1084,BPzvMur8OX
1321,OfStrathclydeFacultyOfHumanities2540,oZ3Np0sYiq
1322,ClarksSummit1011,7FQhEVWt3U
1323,WilsonCollegePennsylvania2296,aUV13TgGbY
1324,Eurecom2765,0F2pnZiQNj
1325,OfGuelph2954,tVhfrw0iQM
1326,OregonHealthScience3195,kV1pB0HQFJ
1327,OfCaliforniaDavisCollegeOf3810,T641liBLoU
1328,OfHawaiiAtManoaSchool4015,U4P5bMmyNg
1329,BaylorRobbinsCollegeOfHealth3316,iLSjn4gaAX
1330,SanDiegoState1848,9rpIitqOCa
1331,SyracuseSchoolOfEducation1743,DiTnLXQPNv
1332,RobertKennedyCollege445,MZy1VPw02H
1333,InesdiBusinessSchool1231,4k6m5lTEZI
1334,TheOfZielonaGufra2809,Z0OJSk4Hr6
1335,SetonHallCollegeOfCommunication966,So19mzqXAw
1336,OfNebraskalincoln2773,4szpHrgyvB
1337,UmassLowellGlobalStudentSuccess1953,4PHz5hoUWb
1338,TechnicalOfCrete2712,4iXyL0Kuwx
1339,AgriculturalOfGeorgiaGeorgianAgrarian3057,Faz10RvwpM
1340,OfTexasRioGrandeValley2937,RYn3s9vCA0
1341,TiradentesUniversidadeTiradentes2374,jSuOqTmUrQ
1342,RmitRoyalMelbourneInstituteOf743,9DspUM2o0l
1343,OfDallas2493,WgwRrd6DNA
1344,MinesParistech4279,xNrQoE7Yyn
1345,WestVirginiaReedCollegeOf3611,3MxTPBgVEc
1346,OfPittsburghOnline2300,ZK10Jdle8Y
1347,BrynMawrCollege3540,36qnyZcgjJ
1348,SaginawValleyState3544,onYEUIcP57
1349,SeattlePacificSchoolOfEducation2237,HKmYR6l7kh
1350,IeLawSchool3752,9K1MgwRYzW
1351,Setsunan2899,Vvnp79lg6j
1352,MetropolitanStateOfDenver1543,gnH61t28FT
1353,TempleCollegeOfLiberalArts3601,Wjqft9GTyM
1354,ColumbiaCollege3748,8H0Cq9lt5g
1355,UniversidadePortucalense3957,8yWde2vmX0
1356,Alquds3375,JBveLKR6Qd
1357,AllianceManchesterBusinessSchoolThe206,WgmFlbUJDk
1358,BartonCollege2520,V92AoicUGh
1359,InstitutSupuerieurDeMarketingDu1376,HEIwAc1gT9
1360,OntarioTech2679,v9yEWCsRVS
1361,NationalOfSouthernPatagoniaUniversidad3028,Tv1H8fnwMu
1362,HolyCrossInKielce2420,FEkYPmtLZQ
1363,AlbanyState64,fQn5ed0WIi
1364,Kean4193,9mLQJXpCng
1365,UlsterOnline3142,nBvVfd789H
1366,CorporationOfResearchAndDevelopment1780,gVjZhvybOd
1367,InternationalSchoolOfEconomics2178,jLImt0equN
1368,DiegoLuisCufrdobaTechnologicalOf2637,mlB5t4eVwA
1369,AmsterdamOfAppliedSciences1364,OWkyznP9lU
1370,Sungkyul2911,tHi56r7SYy
1371,AugustaCollegeOfScienceAnd3102,rWMZKdDhCR
1372,CeumaUniversidadeDoCeumaUniceuma3007,yb4zxR69JP
1373,IedUIstitutoEuropeoDi817,PTWF0jQBwO
1374,HoustonBaptist3096,ZmxeMP49YW
1375,StateOfNewYorkMaritime114,pjKqr4uY71
1376,MediaBusinessSchool3670,d4nLXwD9ht
1377,CampusUniversitarioEuropeo22,HBbt1AyjmG
1378,TheEkaOfAppliedSciences1302,OInXPqejJ3
1379,IsaLilleGraduateSchoolOf1451,cOWElPrs4T
1380,RutgersBusinessSchoolNewarkAnd1958,u1gsYQaqno
1381,UsekHolySpiritOfKaslik569,SkvFIA523h
1382,ColoradoStateCollegeOfAgricultural3788,taAsWPbX4O
1383,EstonianAcademyOfArts689,L4xuoPtCn5
1384,PillarCollege2418,qTxZWszdMa
1385,OfTulsaCollegeOfBusiness1980,mPgfr8Ws3M
1386,UniversidadDelFutbolDelDeporte3201,l7CGimdNZz
1387,FlorenceClassicalArtsAcademy1031,DneBIOcmsy
1388,SouthernUtahDepartmentOfAviation2195,sjdgF2mTlw
1389,OfColoradoSouthDenver3652,v8KJgSm4x6
1390,TheOfAlabamaGraduateSchool2912,jhVyvg5QLN
1391,ElizabethCityStateEcsu399,yRcLqima6s
1392,HunterCollegeSchoolOfEducation2219,YrPakzSyge
1393,MiddlesexDubai499,c0rL8XM6bG
1394,PoznauOfPhysicalEducation3281,F2q6TIv7Yl
1395,JuanDeCastellanosFoundationFundaciufn410,RtISWArDV6
1396,RomeBusinessSchool159,oKEgNfQFX4
1397,PurdueCollegeOfEducation2400,Si61NhcCsa
1398,IedeBusinessSchoolOfUniversidad389,yqR3wPNizG
1399,MississippiStateCollegeOfAgriculture1322,oZj6DrQT9y
1400,OfArkansasLittleRock3887,j7QR8H4zxa
1401,KetteringCollegeOfSciencesAnd4326,rS7jKnQbdN
1402,KaskConservatoriumSchoolOfArts920,zWJHB1E238
1403,MichiganStateCollegeOfEducation436,GIsN37cblV
1404,Keele315,ahF1TONRJC
1405,SanJoseStateLucasCollege1884,29sVvqz8p6
1406,SoutheasternLouisianaCollegeOfScience3103,DArIctBFdq
1407,SouthwestAcupunctureCollege3236,HBUF0fud2P
1408,OfTwente3869,mABkUXxr8i
1409,SingaporeManagement209,2gyvPkRDi7
1410,IeseBusinessSchool3899,Ga4o1QBH3D
1411,LingTung1648,E9jhSef3lC
1412,ImispInternationalManagementInstituteSt3875,SraJly8jHe
1413,TechnicalOfLiberec681,Y2K3elVmXM
1414,TennesseeState1584,Qm63BXyU8K
1415,InstitutoDeEmpresaIeBusiness2079,LGNeKCa8Yf
1416,EsmtBerlin1542,wgs0XSio6O
1417,OfCambridgeSchoolOfPhysical4019,26ToQwPlxs
1418,EasternKentucky391,1LQwolgFZu
1419,DostoevskyOmskState1357,1wp2k9vIsf
1420,OfTechnologyJamaicaUtech2121,fq9jGCncRU
1421,CollegeForFinancialPlanning2097,p9qBzHro6a
1422,OregonStateCollegeOfForestry3808,knhtZwVFHS
1423,ProvidenceCollegeSchoolOfProfessional1863,5YHqIL1OdK
1424,MoscowStateOfFoodProduction3826,NZ2olxyCc5
1425,EbzBusinessSchoolOfApplied1472,aNYz4iZ0uG
1426,Brescia3212,olrzhubQLq
1427,CollegeDublin560,bSXlNzomGQ
1428,DohaInstituteForGraduateStudies442,N8sUo4vQxV
1429,MissouriValleyCollege2303,um9SyZNf5O
1430,CriswellCollege3484,RnCieW52g9
1431,FashionInstituteOfTechnologyFit3067,fFC7XDzKQl
1432,OfNebraskaLincolnCollegeOf1570,JiRntwWyrk
1433,LoyolaNewOrleans2370,b0vJXxkMZK
1434,SaintPetersburgAcademic3813,qSUr9iw0ac
1435,Botho2356,zbJVUncyDN
1436,OfLisbonMedfor3060,XNYLkydfm5
1437,NationalSchoolOfComputerScience441,hdJFceQaXV
1438,KarlshochschuleInternational3958,4Hsoj0uGcy
1439,SchoolOfArtAndDesign1752,WxUnBt0mIi
1440,Barilan2961,6rkGYX54sR
1441,OfFineArtsEssen4070,kZsvDtgiHp
1442,EsbsEuropeanSportBusinessSchool4173,I41l7fXNdx
1443,XianJiaotongliverpool479,YEgI0c5jN3
1444,IndianaOfPennsylvaniaCollegeOf4006,HDQbloVB6s
1445,OfTheArtsHelsinki871,PlfC972rE3
1446,AstonInstitute1193,YFzPLNck9v
1447,RochesterInstituteOfTechnologyRit34,ukIENct5pO
1448,OfNebraskaLincolnOnline1942,hpwx7bC8lZ
1449,Belmont2574,u8bhPKsqGD
1450,UcBerkeleySchoolOfInformation4252,iDQ9XoHU1v
1451,FurtwangenUniversityhfuBusinessSchool3868,2WPfKHOC4d
1452,DriestarChristianForTeacherEducation2551,IDHkyMiz8F
1453,LenkesonGlobalChristian2480,pqfZyXFBCU
1454,KoreaNationalOfCulturalHeritage625,FXRux2DfVp
1455,UniversidadInternacionalDeAndalucuedaUnia66,tYzeJi1vNg
1456,AucTheAmericanInCairo3177,nLPBo5EAN6
1457,OfMontpellierUniversiteDeMontpellier1889,Oo1jScIKeD
1458,OfLifeSciencesInLublin2977,AJWnP1hruB
1459,PekingHsbcBusinessSchoolPhbs1090,GnVWZCMxlp
1460,OfNewHampshirePeterT1960,JkzTD1uXip
1461,HcmcBanking2170,oE1Zr0WGhn
1462,OfGroningen15,i4H7qN50fl
1463,AiheAcademicInstituteForHigher42,nBwfKApEU5
1464,OfInsubria1681,Qo1ZsVitr0
1465,BrownSchoolOfEngineering1642,p0IQH9AnYV
1466,OfGeorgia4124,4bDaMdvoeF
1467,SapienzaOfRome586,26ef9KixYE
1468,SaintMarkForAdministrativeSciences239,Pko4GOUsA0
1469,KentStateCollegeOfThe841,IUdpl3ZkGb
1470,StPadarnsInstitute3566,B2cUw5oVOp
1471,TheOfTheArts994,NZD4ozryfc
1472,VolgogradStateTechnical2848,Cdvw0sEjt3
1473,UniversidadNacionalDeFormosaArgentina2362,aOw1x4vT9N
1474,OfCambridgeHomertonCollege2623,2Z1qRnMoXU
1475,UnitedArabEmiratesCollegeOf3216,jGbpgziXS9
1476,SeattlePacificCollegeOfArts3570,u28tAaIhqk
1477,OfEvryValDessonneUeve62,rSQ8xJwTPD
1478,HecMontrueal1838,NDpIJyTL8n
1479,OfRijekaFacultyOfEconomics1237,XqE4ZxQVav
1480,OfExeterBusinessSchool1495,GyD7PbNquH
1481,AutonomousOfTheNorthEast1895,TeA0XsyD75
1482,SouthernUtah2458,iPHJfCuITO
1483,CollegiumVerum3186,HUF8DGgkj0
1484,TexasChristianHarrisCollegeOf4038,3DS5VduoeI
1485,BaruchCollegeWeissmanSchoolOf512,xciLmI4Pnv
1486,SchoolOfArtisticProfessions996,0knNQwDtRi
1487,Atyrau1643,PItCqxVciT
1488,OfGothenburgDepartmentOfApplied3613,NpFdlEcPbW
1489,IconosResearchInstituteForCommunication909,TUD3HoKYMd
1490,BatamInternational3951,tzym1DI2go
1491,EscoEscuelaSuperiorDeComunicaciufn3069,7S24DujO5Q
1492,EstonianAcademyOfMusicAnd945,vIF9LRJmP7
1493,StanfordSchoolOfEngineering1039,830kTjpAC2
1494,OfMinnesotaCollegeOfPharmacy3997,sF7az2Iknq
1495,ColoradoStateWalterScottJr2740,acMAOl7rhw
1496,InstituteForChristianStudies2322,6NuBJaArIt
1497,KansaiMedical3317,M95P7ANUrm
1498,TridentInternational2928,Vu3knFt5dB
1499,PontificiaUniversidadJaverianaBogotue4285,HA5IUhOxFi
1500,OfMissouriSchoolOfJournalism3660,EU73huAjWn
1501,TexasAmMaysSchoolOf2205,bIqGpuoCMe
1502,ZhawZurichOfAppliedSciences1209,jyulqnkmM4
1503,EscuelaInternacionalDeProtocolo3925,J4EHVOMp9v
1504,Ubis1189,gYOV1yuwKJ
1505,AtlanticInternationalMastersPrograms94,zdmqZnJEKL
1506,UniversidadAutonomaMetropolitana2681,zxsTohlY2e
1507,LatvianAcademyOfSportEducation4174,eE9YUlw4yz
1508,UniversidadTecnologicaDeMexicoUnitec352,gyNFAaXkzp
1509,ZhejiangWanli524,aRCXEZwmNc
1510,IrishBibleInstitute3449,83CTmOPcqn
1511,BurgundySchoolOfBusiness970,VLkX8fpi6v
1512,DivineMercy3165,6svBDhUO8Z
1513,OfSouthAustralia651,iOf9F3C51Q
1514,Adler199,aZ8dBYct94
1515,PhilipMerrillCollegeOfJournalism3650,9OKlbmDkFd
1516,SanFranciscoState1125,3KtdOyvrQU
1517,UniversidadNacionalDeJoseC2155,bWQXKAwZxB
1518,OfSanDiegoShileymarcosSchool2896,exCTw1VyLq
1519,LaSalleLaguna600,jEBwm3HkTh
1520,HolyFamily335,u4mGkW1fA0
1521,Nipissing2438,0v6xNzJ5XE
1522,LomaLindaSchoolOfAllied3139,Oj4ewUlsGF
1523,OfStAndrews404,mlzIktpFUu
1524,SynergyDubai2204,617KOtrSwu
1525,NortheasternIllinois365,YBt41zQG8n
1526,OfNorthDakotaJohnD2945,SEjwBzRnIe
1527,GitiGenevaInformationTechnologyInstitute4286,nkM9X7jywQ
1528,OfColoradoDenver591,tlDadj1rT2
1529,VictoriaOfWellington638,23OT6DuXCw
1530,TheAmericanOfAthens2974,Fn7szOwT9N
1531,SouthernInstituteOfTechnology4312,cbXyIZes2R
1532,OfNorthDakotaCollegeOf3157,fuUhgG2kSp
1533,CityOfLondon1337,8Dwzkoyvgn
1534,IowaStateCollegeOfAgriculture1915,FmXxdEgkKt
1535,LesRoches1627,34mhRnDOtF
1536,LincolnMemorial2369,OY8PwxrzDi
1537,UniwersytetTechnologicznohumanistycznyImKazimierzaPuuaskiego3690,nqegwbv82J
1538,LetterkennyInstituteOfTechnology4271,cn6U5VNytk
1539,IowaWesleyanCollege2616,ymvqj8VoGP
1540,Polidesign561,oHKJsleA3X
1541,IesaInstitutoDeEstudiosSuperiores2066,NODY7Tt5V9
1542,CatholicOfSalvadorUniversidadeCatuflica3046,cKtW8ADMEl
1543,ChibaPrefecturalOfHealthSciences3342,vHaxjwZ12t
1544,EscuelaDeNegociosUniversidadAdolfo1109,9mNwEpStaD
1545,EstpParisUccoleSpuecialeDes2792,WYgrTiOwPH
1546,VyatkaState3647,jF6VYg8zpK
1547,DiegoPortales2000,mFfdS3Ys8p
1548,SageColleges3147,orfLBFCGvz
1549,CampusStratinnov3927,3wHsKX5y1Z
1550,OfPhoenixOnline514,RxFlComSGh
1551,CentralOfTheCaribbeanUniversidad3259,609O3dYZhF
1552,Felician4309,t9FuLjTIOf
1553,OfMontanaOnline4110,yYuoc1wXHe
1554,Lincoln4194,TftFghovJn
1555,UniversidadNacionalDeLosComechingones3189,EG3vbROaC2
1556,IpuNewZealand3515,VzcuIWCiEK
1557,RichmondTheAmericanInternationalIn940,f3hDawG8N0
1558,AntonioJosueCamachoInstitutionInstituciufn2995,ilGLyPwxTZ
1559,ClaremontGraduateSchoolOfSocial2541,P5FzQZwKoG
1560,KazanStatePowerEngineering2711,7pfAvwRo8B
1561,UcdCollegeDublinOnline3054,0CvxEFrd4D
1562,StetsonCollegeOfArtsAnd518,tscEk3jWSq
1563,Tecmilenio373,fN9pFhx6ae
1564,LondonFilmAcademy3628,DMfglcT9Ax
1565,Sunway72,RTD4CmegZa
1566,EscoEuniversitas3681,UrIqwiRQhH
1567,PeoplesuFriendshipOfRussia1559,ijTJ5lYzo4
1568,BogdanVodu371,9kf0DseYLR
1569,WyucszaSzkouaKomunikacjiSpouecznejW2349,4vFzuZPwml
1570,Ulearn1413,T30bHEyu7r
1571,VysokueUkolaPodnikuenuedAPrueva3649,xErBmfOSkd
1572,FacultyOfLawAndBusiness3706,2krJDc9ROv
1573,JohnCabot932,guxMSOz1Uw
1574,OfPhysicalEducationInKrakow2576,yKAXbRVwQY
1575,Taylorus662,H1eD3Qwyvp
1576,WingsWismar1757,ixfGUqcvha
1577,Westbridge884,zEsLgTfo3D
1578,InternationalPsychoanalyticBerlin1078,nvLQ7DpS5J
1579,PeoplesFriendshipOfRussia74,ZadlHwmLKX
1580,WilkesSchoolOfEducation2221,fabJljLVrX
1581,OfTheCommonwealthCaribbeanUcc413,b10SNq5Qmu
1582,AmericanCorporationCorporaciufnUniversitariaAmericana359,liPGusVXDH
1583,OfCaliforniaBerkeley2972,SF54DCnvPQ
1584,WilliamSamson3414,kcb4pIKxFE
1585,Oakwood3352,4R1QSgqcYX
1586,OfSouthernCaliforniaSchoolOf3662,xpo0m2qaV4
1587,ImtMinesAlbi274,wTjxyEVcZC
1588,FondazioneCollegioEuropeoDiParma4137,u3TdM0zqhL
1589,Valparaiso2166,FreXnkfqIA
1590,BarcelonaTechnologySchool1340,XbdvIEMw85
1591,NarutoOfEducation2380,XrSfgRsx6N
1592,BostonCollegeOfFineArts3877,m6nXbCYetd
1593,SamaraStateTransport481,wTR8WOvt4L
1594,OfAppliedSciencesUpperAustria1120,gyIYEaGo7e
1595,MetropolitanOfScienceAndTechnology328,sFvf0ZcOGJ
1596,CatholicOfLilleUFaculty1210,myK0idGAlC
1597,Xiangtan2820,acJEvYWAz3
1598,SimmonsOnline3249,rgzKtXld5T
